source,epoch,pearson,spearman,kendall,jaccard_top30pct
dve,0,0.8159546481670504,0.8117876828053665,0.5960902116104441,0.6382978723404256
dve,1,0.07792533942972094,0.032644072215510356,0.048255894163742465,0.18461538461538463
dve,2,0.21796831225667804,0.18042783324771283,0.14212840271892374,0.232
dve,3,0.2881041746483649,0.24209777732636878,0.18011918076838815,0.25203252032520324
dve,4,0.37394019553612323,0.3442625501156194,0.2474608986334872,0.3391304347826087
dve,5,0.4853102715153178,0.4681861796843755,0.33322099344663275,0.41284403669724773
dve,6,0.49652221982543865,0.48680046921492326,0.3450367647058824,0.4392523364485981
dve,7,0.5205229165220353,0.5197364456498361,0.3685411848040383,0.4528301886792453
dve,8,0.5458173812099337,0.550348630093831,0.39116381002444445,0.4666666666666667
dve,9,0.567405216571766,0.572255624187399,0.4076349209259065,0.49514563106796117
dve,10,0.5994002787041405,0.6017389208305273,0.42754944167764186,0.5247524752475248
dve,11,0.6157706249617402,0.6168094815747309,0.43884803921568627,0.5555555555555556
dve,12,0.6436066917237293,0.6432371538109406,0.45931372549019617,0.5714285714285714
dve,13,0.6657794921206273,0.6594851510643167,0.4670955882352942,0.6041666666666666
dve,14,0.6952628040168447,0.6850266079194322,0.48609068627450985,0.6382978723404256
dve,15,0.719248629305614,0.7022323472190432,0.5000000000000001,0.6739130434782609
dve,16,0.7213720619170811,0.7004270141908903,0.4985906862745098,0.6739130434782609
dve,17,0.7362749065679297,0.7110186827649346,0.5064338235294118,0.7111111111111111
dve,18,0.7386491877686517,0.7117991659631833,0.5053692612305771,0.7111111111111111
dve,19,0.7406729700355457,0.7147738326848249,0.5079656862745099,0.75
dve,20,0.7394082523711272,0.7142431048294804,0.5077205882352942,0.7303370786516854
tim,0,0.9969403484323107,0.9981281444965356,0.9834538620257434,0.9743589743589743
tim,1,0.994044369963983,0.9973397430798008,0.9719503051151759,0.925
tim,2,0.9891697151138812,0.9954332004308211,0.9533540649719229,0.9493670886075949
tim,3,0.9814190793523435,0.9887765701491793,0.931662556214648,0.925
